Title,,Year,Educational Domain,Educational Level,Application Type (Category),Application Type (Sub-Category),Educational Objective,Number of Agents,Agents Role
Leveraging LLM-based multi-agent simulations to boost participatory design education: An experimental exploration in residential area design,"Zhang, Y.; Lin, Y.; Tian, L.; Yang, X.",2025,,Higher Education,Simulation-based Learning Systems,,"Improve stakeholder understanding, Improve critical reflection and adaptive decision-making",Multiple,"Planner agent, Community planner, Resident agents, Developer agent, Government official agent, Environmentalist agent, Young family agent, Elderly resident agent"
Enhancing Online Learning Through Multi-Agent Debates for CS University Students,"Du, J.; Xu, G.; Liu, W.; Zhou, D.; Liu, F.",2025,Computer & Technology,Higher Education,Learning Support Tools,Educational Q&A Systems,Enhance critical thinking and supports self-learning,3,"Moderator, Affirmative debater, Negative debater"
A Multi-Agent Chatbot Architecture for AI-Driven Language Learning,"Aleedy, M.; Atwell, E.; Meshoul, S.",2025,Language & Writing,Multiple / Not Specified,Learning Support Tools,Educational Chatbots,Enhance contextual understanding in English to Arabic translation,3,"Lead Agent, Translation Agent (LLM), Retrieval Agent, Review Agent (LLM), Feedback Agent (LLM)"
An Adaptive Multi-Agent Architecture with Reinforcement Learning and Generative AI for Intelligent Tutoring Systems: A Moodle-Based Case Study,"López-Goyez, J.P.; González-Briones, A.; Demazeau, Y.",2025,Not Specified,Higher Education,Learning Support Tools,AI-driven Tutoring Systems,Personalized learning platform,Multiple,"specialized agents (Pedagogical, Technical, Analysis, Adaptive empathetic, and Ethical)
support agents (prompt-receiving, translation agents)"
A LLM-Powered Automatic Grading Framework with Human-Level Guidelines Optimization,"Chu, Y.; Li, H.; Yang, K.; Shomer, H.; Copur-Gencturk, Y.; Kaldaras, L.; Haudek, K.; Krajcik, J.; Shin, N.; Liu, H.; Tang, J.",2025,STEM Fields,K-12,Intelligent Assessment and Feedback Systems,Automated Assessment,Reduces the human workload required for assessing short-answer responses.,3,"Reflector, Refiner, Grader"
Partnering with AI: A Pedagogical Feedback System for LLM Integration Into Programming Education,"Scholz, N; Nguyen, M H; Singla, A; Nagashima, T",2025,Computer & Technology,K-12,Intelligent Assessment and Feedback Systems,Learning Feedback Generation,Generates pedagogically adaptive feedback,Multiple,"Input Validator, Expert Programmer, Pedagogical Expert Validators"
Generating AI Literacy MCQs: A Multi-Agent LLM Approach,"Wang, J.; Xiao, R.; Tseng, Y.-J.",2025,Computer & Technology,K-12,Educational Content Development and Instructional Design,Automated Generation of Questions,"Generate high-quality AI literacy multiple-choice assessment questions aligned with learning objectives, grade level, and Bloom's taxonomy.",3,"Generator Agent, Language Critique Agent, Item-Writing Flaw Critique Agent (Not LLM), Supervisor Agent"
LLM-based Interactive Coding Education via Predictive Query Management and Student-Centered  FineTuning: Design and Implementation with 1500-Student Class Data,"Youn, G; Lee, J; Kim, J; Yoo, C",2025,Computer & Technology,Higher Education,Learning Support Tools,Educational Q&A Systems,,3,"AI Student, AI Instructor, AI TA, Answering Agent, Query Routing Agent, Category Manager Agent, Fine-tuned Tutoring Agent, Feedback Agent"
"Emergent Intelligence: Designing an AI-Empowered, Data-Driven Operational Framework for Innovation Spaces in Higher Education","Shen, Y; Cheng, H",2025,STEM Fields,Higher Education,Learning Support Tools,AI-driven Tutoring Systems,"The whole ecosystem recommneds learnign paths and resources based on user profile, improves project lifecycle management, Q&A subsystem.",Multiple,"Design Consultant, Project Planner, System Architect, Technical Engineer, Product Manager (AI Teaching Assistant Hardware Advisor)"
An LLM-Enhanced Multi-agent Architecture for Conversation-Based Assessment,"Hou, X.; Forsyth, C.; Andrews-Todd, J.; Rice, J.; Cai, Z.; Jiang, Y.; Zapata-Rivera, D.; Graesser, A.C.",2025,STEM Fields,K-12,Intelligent Assessment and Feedback Systems,Automated Assessment,Improve conversation-based assessment with evidence collection for science inquiry assessment,4,"Expert Agent,  Peer Agent,  Formative Assessor,  Summative Assessor"
From First Draft to Final Insight: A Multi-agent Approach for Feedback Generation,"Cao, J.; Zhao, C.Q.; Chen, X.; Wang, S.; Schunn, C.; Koedinger, K.; Lin, J.",2025,Not Specified,Higher Education,Intelligent Assessment and Feedback Systems,Learning Feedback Generation,Generate high quality student-centered feedback.,3,"Generation Agent, Evaluation Agent, Re-generation Agent"
Leveraging a Multi-agent LLM-Based System to Educate Teachers in Hate Incidents Management,"Gajewska, E.; Wawer, M.; Budzyńska, K.; Chudziak, J.A.",2025,,Professional Training,Simulation-based Learning Systems,,Improve teachers' hate incident management skills,7,"Manager agent, Student agents, Advisory agents"
“My Grade is Wrong!”: A Contestable AI Framework for Interactive Feedback in Evaluating Student Essays,"Hong, S; Cai, C; Du, S; Feng, H; Liu, S; Fan, X",2025,Language & Writing,Higher Education,Intelligent Assessment and Feedback Systems,Learning Feedback Generation,Provides interactive feedbacks that flows in both direction between teacher and student.,Multiple,"TA agents, Teacher agent"
Enhancing College Students’ Adaptive Generative Learning Outcomes: A Multi-agent System Approach Based on the “C-H-R” Collaboration Mechanism,"Xie, Y.; Chen, W.; Qiu, Y.",2026,Computer & Technology,Higher Education,Learning Support Tools,AI-driven Tutoring Systems,,Multiple,"Learning Interaction agents, Learning evaluation agents, Learning management agents."
Educational-Psychological Dialogue Robot Based on Multi-agent Collaboration,"Ni, S.; Yang, M.",2025,Not Specified,K-12,Learning Support Tools,Educational Q&A Systems,"Provides accurate educational question answering 
and psychological support through a 
multi-agent dialogue system",2,"Educational LLM Agent, Psychological LLM Agent"
AIvaluate: A Multi-Agent Framework for Automated Answer Script Evaluation Using Large Language Models and Semantic Vector Indexing,"Suryakumar, P.; Malini, A.; Subasini, S.K.; Priyanka, G.; Sandhiya, V.",2025,Not Specified,Higher Education,Intelligent Assessment and Feedback Systems,Automated Assessment,Automates handwritten answer evaluation.,2,"Pe-processing Agent, Evaluating Agent"
AgentLesson: LLM-Based Multi-agent System for Educational Lesson Plan Generation,"Chen, Y.; Yang, Y.; Xu, G.",2026,Not Specified,K-12,Educational Content Development and Instructional Design,Curriculum and Lesson Plan Generation,Improve the pedagogical quality of automatically generated lesson plans,2,"Writer, Evaluator"
An Adaptive Intelligent Tutoring System Powered by Generative AI,"Almetnawy, H; Orabi, A; Alneyadi, A R; Ahmed, T; Lakas, A",2025,STEM Fields,K-12,Learning Support Tools,AI-driven Tutoring Systems,Personalized adaptive tutoring,3,"Tutor, Validator, Assessor"
"Application of multi-agent systems in legal education: the impact of multi-agent mock trial exercises on student satisfaction, core skill enhancement, and cognitive development","Shi, S.J.; Cao, Y.B.; Shi, Z.L.; Li, J.W.; Zhang, R.",2026,,Higher Education,Simulation-based Learning Systems,,Improves critical thinking and practical legal skills,Multiple,"Judge Agent, Prosecutor Agent, 
Defence Attorney Agent, Witness Agent, 
Task Centre"
ArtAgent: A Creativity Support Tool Designed for Novices in Painting,"Shou, Y; Zhu, K; Yin, Y; Zhang, X; Chai, C; Sun, S",2024,,Higher Education,Learning Support Tools,Problem-Solving Assistance Systems,"Improve artistic knowledge
Optimize prompts, enhance creativity and artistic expression",2,"Painting Teacher Agent, Prompt Optimization Agent"
Facilitating Teacher Coaching: Generating Insightful Comments on Classroom Instruction Through  Multi-agent Reflection,"Yu, J.; Lu, Y.",2025,Not Specified,Professional Training,Teaching Support Tools,,,2,"Comment-Writing Agent, Comment-Review Agent"
AutoCSMap: A Multi-Agent Automated  Framework for Computer & Technology Problem-Solving Roadmap Generation,"Liu, J.; Haihong, E.; Tang, Z.; Yang, Z.; Liu, Y.; Zheng, Q.; Feng, K.; Kuang, Z.",2025,Computer & Technology,Higher Education,Learning Support Tools,Problem-Solving Assistance Systems,Generate structured problem-solving roadmaps to support personalized learning paths and intelligent teaching assistance,5,"Initial Agent, Knowledge Agent, Logic Critique Agent, Granularity Critique Agent, Revision Agent"
Automatic Question Generation for Intuitive Learning Utilizing Causal Graph Guided Chain of Thought Reasoning,"Wang, N X; Parpia, N V; Parikh, A D; Katsaggelos, A K",2025,STEM Fields,Multiple / Not Specified,Educational Content Development and Instructional Design,Automated Generation of Questions,Improve automatic question generation accuracy and reduce LLM hallucinations,6,"Causal Graph Pathfinder Agent, Path Expansion Agent, Path Validation Agent, CoT-based Question Generation Agent, Question Validation Agent, Question Output Agent"
LLM Agents at the Roundtable: A Multi-Perspective and Dialectical Reasoning Framework for Essay Scoring,"Jang, J; Moon, A; Jung, M; Kim, Y; Lee, S J",2025,Language & Writing,K-12,Intelligent Assessment and Feedback Systems,Automated Assessment,Integrates diverse evaluation perspectives to the assessment systems.,5,"English Teacher, Social Studies Teacher, Writing Coach, Curriculum Specialist, Manager agent"
Collaborative Learning Environments by Educational Agent Feedback Systems,"Qi, X; Meng, H; Yu, X",2024,Computer & Technology,Multiple / Not Specified,Intelligent Assessment and Feedback Systems,Learning Feedback Generation,Improves collaborative learning by simulating tutors,2,"Learner Agent, Tutor Agent"
Dynamic Updating Method of Course Content Based on Multiple Intelligent Agents Collaboration,"Jie, S.; Xiao, M.; Xu, Y.; Jiang, X.; Dong, L.",2025,Computer & Technology,Higher Education,Educational Content Development and Instructional Design,Learning Content Development,"Automatically retrieve, filter, and integrate new knowledge points and reduces educator's workload.",3,"Knowledge Retrieval Specialist, Teaching Knowledge Analyst, Course Update Engineer"
Online Course Recommendation Based on Multi-Agent Systems and Knowledge Graphs,"Zhong, Z.; Shao, C.; Hong, Y.; Li, Q.",2025,Not Specified,Higher Education,Learning Support Tools,Adaptive Learning Path Construction,Personalized course recommendations,3,"Intent Anchoring, Graph Navigation, Course Recommendation"
STEM education: Understanding secondary students’ epistemic cognition in the design process with the support of a personalized multi-agent system,"Gao, L.; Jong, M.S.-Y.; Chai, C.S.; Li, K.",2026,STEM Fields,K-12,Learning Support Tools,Problem-Solving Assistance Systems,,10,"Competition Advisor, Interview Simulator, Empathy Map Creator, Problem Definition Facilitaor, Structural Design Expert ,Assembly Guide Generator, Structure Diagram Generator, Programming Assistant, Learning Resource Recommender, Product Evaluator"
EduMAS: A Novel LLM-Powered Multi-Agent Framework for Educational Support,"Li, Q.; Xie, Y.; Chakravarty, S.; Lee, D.",2024,STEM Fields,Higher Education,Learning Support Tools,Educational Q&A Systems,,5,"Graph Navigator, Learning Coordinator, Concept Clarifier, Application Analyst, Connection Builder"
EduPlanner: LLM-Based Multiagent Systems for Customized and Intelligent Instructional Design,"Zhang, X.; Zhang, C.; Sun, J.; Xiao, J.; Yang, Y.; Luo, Y.",2025,STEM Fields,K-12,Educational Content Development and Instructional Design,Curriculum and Lesson Plan Generation,Generates content based on user specific state and learning capabilities.,3,"Evaluator, Optimizer, Question Analyst"
ExpertEase: A Multi-Agent Framework for  Grade-Specific Document Simplification with Large Language Models,"Mo, K.; Hu, R.",2024,Language & Writing,K-12,Educational Content Development and Instructional Design,Learning Content Development,Provides grade-specific document simplification.,3,"Expert, Student , Teacher"
A Role-Aware Multi-Agent Framework for Financial Education QA,"Zhu, A.; Du, Y.",2025,Finance,Higher Education,Learning Support Tools,Educational Q&A Systems,Improve financial question answering accuracy,3,"Evidence Retriever , Expert Reviewer, Base Generator"
GenScore: Agent-Based Short-Answer Question Generation and Scoring in Software Engineering  Courses,"Duong, T N B; Shar, L K",2025,Computer & Technology,Higher Education,Educational Content Development and Instructional Design,Automated Generation of Questions,Generating short answer question and grading.,Multiple,"Generation Agent, Refinement Agent, Rating Agent(s), Scoring Agent(s)"
Generating Context-Aware Learning Materials for Software Security via LLM Agents and Traceability,"Schüring, B L; Herrmann, M; Specht, A; Ehl, M; Elsofi, D A A; Großer, K; Jürjens, J; Schneider, K",2025,Computer & Technology,Professional Training,Educational Content Development and Instructional Design,Learning Content Development,"Improve software security knowledge
acquisition and developer training",5,"Researcher, Coding Specialist, Media Fetcher, Writer, Question Generator"
BPMN-Based Design of Multi-Agent Systems: Personalized Language Learning Workflow Automation  with RAG-Enhanced Knowledge Access,"Tebourbi, H.; Nouzri, S.; Mualla, Y.; El Fatimi, M.; Najjar, A.; Abbas-Turki, A.; Dridi, M.",2025,Language & Writing,Multiple / Not Specified,Learning Support Tools,AI-driven Tutoring Systems,"Personalized language learning
Improves learner engagement",4,"Communicator Agent, Orchestrator Agent, Tracker Agent, 
Tutor agnets(Reading, Listening, QA, Grammar Summary,Conversational), 
Splitter Agent, Organizer Agent(these agents are only for vector store preparation)"
I-LEAD: A Digital-Intelligence-Powered Ecosystem for Innovation and Entrepreneurship Education,"Liu, S; Pan, M; Yang, Y",2025,,Higher Education,Learning Support Tools,AI-driven Tutoring Systems,"Support students’ innovation
and entrepreneurship activities",2,"iMentor, EnPower"
MAARTA:Multi-agentic Adaptive Radiology Teaching Assistant,"Awasthi, A.; Chung, B.V.; Vu, A.M.; Le, N.; Agrawal, R.; Deng, Z.; Wu, C.; Nguyen, H.V.",2025,Health Education,Higher Education,Intelligent Assessment and Feedback Systems,Learning Feedback Generation,Helps radiology students develop perceptual expertise while reduces workload of experts mentorship,Multiple,"Principle agent, PET agents, Consolidator agent"
MEDCO: Medical Education Copilots Based on a Multi-agent Framework,"Wei, H.; Qiu, J.; Yu, H.; Yuan, W.",2025,Health Education,Higher Education,Simulation-based Learning Systems,,,4,"Patient, Student, Radiologist, Medical Expert"
MEMOS: Multimodal Educational Mentor and Optimisation System Based on Multi-Agent,"Hu, Y.; Chen, Z.; Lin, Y.; Wang, J.; Liu, Y.; Lin, W.; Zhang, L.; Guo, M.",2024,Not Specified,Multiple / Not Specified,Teaching Support Tools,,,5,"Image Processor Agent, Audio Processor Agent, Summary and Report Generator, Q/A Assistant, Analyzer Agent"
Multi-Examiner: A Knowledge Graph-Driven System for Generating Comprehensive IT Questions with Higher-Order Thinking,"Wang, Y; Yu, Z; Wang, Z; Yu, Z; Wang, J",2025,Computer & Technology,K-12,Educational Content Development and Instructional Design,Automated Generation of Questions,Improve the higher-order thinking of questions,4,"Identificador, Explorador, Fabricator, Revisor"
Multi-agentic AI for Automatic Course Syllabus Generation using LangGraph,"Chomphooyod, P.; Jeerapradit, L.; Suchato, A.; Punyabukkana, P.",2025,Computer & Technology,Higher Education,Educational Content Development and Instructional Design,Curriculum and Lesson Plan Generation,Curriculm design framework.,Multiple,"Persona Analysis Agent, Curiculum Analysis, Syllabus Creator, Domain-Specific Analysers"
NeuroQuest: A Multi-Agent AI Framework for Adaptive Learning Through Intelligent Knowledge Creation,"Bevara, R.V.K.; Mannuru, N.R.; Nguyen, T.L.",2025,Not Specified,Higher Education,Educational Content Development and Instructional Design,Learning Content Development,,3,"Orchestration Agent (maybe not llm)
Web Search Agent
Researcher Agent
Publishing Agent"
Design and Implementation of a Multi-Agent AI-Powered Learning Path Platform for Outcome-Based Engineering Education,"Üsküdar, T; Thiel, C; Yildiz, D; Grajcevci, A; Singh, A; Sharma, S; Weinberger, A",2025,STEM Fields,Higher Education,Learning Support Tools,Adaptive Learning Path Construction,Generates outcome based learning path.,2,"Tutor Expert, Teacher' Assistant (not for student it's only visible to teachers), Data Analyst"
"Digital transformation of nephrology POCUS  education—Integrating a multiagent, artificial intelligence, and human collaboration-enhanced curriculum with expert feedback","Sheikh, M.S.; Kashani, K.B.; Gregoire, J.R.; Thongprayoon, C.; Miao, J.; Craici, I.M.; Cheungpasitporn, W.; Qureshi, F.M.",2025,Health Education,Higher Education,Educational Content Development and Instructional Design,Curriculum and Lesson Plan Generation,Generats domain-specific curriculum.,4,"Draft Generator, Curriculum Reviewers (3)"
PreEduAI: A Multi-Agent Collaborative Framework for Automated Preschool Curriculum Development,"Mi, Y.",2025,Not Specified,Early Chilhood,Educational Content Development and Instructional Design,Curriculum and Lesson Plan Generation,This approach provides early childhood curriculum.,4,"Curriculum Designer, Quality Evaluator, Activity Optimizer, Implementation Advisor"
Analyzing the Teaching and Learning Environments through Student Feedback at Scale: A Multi-Agent LLMs Framework,"Cai, Chang; Hong, Shengxin; Ma, Min; Feng, Haiyue; Du, Sixuan; Chow, Minyang; Teo, Winnie Li-Lian; Liu, Siyuan; Fan, Xiuyi",2025,Health Education,Multiple / Not Specified,Teaching Support Tools,,Automatically analyze student feedback and generate comprehensive reports for educators,2,"Report Generation Agent, Report Modification Agent"
Towards Inclusive Educational AI: Auditing Frontier LLMs for Cultural Biases through a Multiplexity Lens,"Mushtaq, A.; Naeem, R.; Taj, I.; Ghaznavi, I.; Qadir, J.",2025,Not Specified,Multiple / Not Specified,Educational Content Development and Instructional Design,Learning Content Development,,Multiple,"Coordinator agent, Task agent, Cultural agents, Multiplex agent"
RUBRA: An Agentic AI System for Automatic Short Answer Grading Using LLMs and RAG,"Haldar, S; Sengupta, S; Das, A K",2025,Not Specified,Multiple / Not Specified,Intelligent Assessment and Feedback Systems,Automated Assessment,Automatic short answer grading. Generate rubrics by extracting reference answers and compare students' response against rubrics to assign score based on semantic similarity.,5,"Rubric Generation Agent (RGA), Contextual Retrieval Agent (CRA), Answer Evaluation Agent (AEA), Feedback Generation Agent (FGA), Orchestration and Synchronization Agent (OSA)"
Artificial Intelligence Agents for Personalized Adaptive Learning,"Hedi, T; Nouzri, S; Mualla, Y; Abbas-Turki, A",2025,Not Specified,Multiple / Not Specified,Learning Support Tools,Adaptive Learning Path Construction,"Personalized adaptive learning, dynamic scaffolding, personalized learning path generation",7,"Educational agents:Tutor,  Practical, Teacher
Specialized agents: Student Profile, Monitor, Decision Engine, File Manager"
A generative artificial intelligence-enhanced multiagent approach to empowering collaborative problem  solving across different learning domains,"Zheng, L.; Shi, Z.; Gao, L.",2026,Not Specified,Higher Education,Learning Support Tools,Problem-Solving Assistance Systems,"Improve collaborative problem-solving skills, learning achievement, and knowledge elaboration",2,"Expert Agent, Assistant Agent"
Development and implementation of a generative AI-based personalized recommender system to improve students’ self-regulated learning and academic performance,"Luo, X Y; Wang, S K; Hew, K F",2026,Not Specified,Higher Education,Learning Support Tools,Adaptive Learning Path Construction,"Improve self-regulated learning
Deliver personalized recommendations,",2,"Task Agent (Goal-setting Agent, Performance Agent, Self-reflection Agent), Recommendation Agent"
Personalizing financial literacy learning for children through GenAI and agentic design: A game-based  experiment,"Machado Santos, G; Maria Silva Julia, R; Zanchetta do Nascimento, M",2026,Finance,K-12,Learning Support Tools,AI-driven Tutoring Systems,Improve financial literacy through personalized adaptive learning and behavioral decision-making,Multiple,"Controller agent (Surrogate advisor agent + Judge agent), Advisor agents"
Enhancing text summarization with AI: a multi-agent system and human comparison in educational contexts,"Yıldız Durak, H.Y.; Eğin, F.; Onan, A.",2026,Not Specified,Multiple / Not Specified,Educational Content Development and Instructional Design,Learning Content Development,"Improve text summarization quality
Enhance creative writing",3,"Generation Agent, Refinement Agent, Summarization Agent"
Knowledge Tagging with Large Language Model Based Multi-Agent System,"Li, H.; Xu, T.; Chang, E.; Wen, Q.",2025,STEM Fields,K-12,Teaching Support Tools,,Improve knowledge tagging accuracy,4,"Task Planner, Question Solver, Semantic Judger, Numerical Judger"
